;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-03-25_14:06:40:120115;1742908000.1191359;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908000.007087;0.11204886436462402;0.0;0.0;0.0;-0.0;403.73480668977004;935.334405767091;-20.0;-24.799999999999955;31.859692402783768;-2.24945881754321;0.0;-126.10506354790205;-34.165026480356055;-20.0;-24.949999999999953
2025-03-25_14:06:40:225512;1742908000.2245111;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908000.1191359;0.10537528991699219;0.0;0.0;0.0;-0.0;408.8789854226466;937.0381277046174;-20.0;-24.949999999999953;31.976593001756733;-2.246514069684583;0.0;-127.00058954762534;-34.117500675369676;-20.0;-25.09999999999995
2025-03-25_14:06:40:333914;1742908000.3325624;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908000.2245111;0.10805130004882812;0.0;0.0;0.0;-0.0;413.89811822074705;938.7710879837986;-20.0;-25.09999999999995;32.09376886562246;-2.243590799457214;0.0;-127.89734247164259;-34.0753168700896;-20.0;-25.24999999999995
2025-03-25_14:06:40:443479;1742908000.442861;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908000.3325624;0.11029863357543945;0.0;0.0;0.0;-0.0;418.88548245435504;940.4935460907418;-20.0;-25.24999999999995;32.211216990359084;-2.240688822161842;0.0;-128.79531280352938;-34.031332499196054;-20.0;-25.39999999999995
2025-03-25_14:06:40:551769;1742908000.5517695;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908000.442861;0.10890841484069824;0.0;0.0;0.0;-0.0;423.8137595172169;942.2183112616204;-20.0;-25.39999999999995;32.328934408668616;-2.237807954345454;0.0;-129.69449107740118;-33.98785788257289;-20.0;-25.549999999999947
2025-03-25_14:06:40:661128;1742908000.6605065;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908000.5517695;0.10873699188232422;0.0;0.0;0.0;-0.0;428.6880335716567;943.94394634545;-20.0;-25.549999999999947;32.446918189559966;-2.2349480138126117;0.0;-130.59486787879592;-33.944638593471296;-20.0;-25.699999999999946
2025-03-25_14:06:40:768458;1742908000.7684581;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908000.6605065;0.10795164108276367;0.0;0.0;0.0;-0.0;433.51270865613697;945.6692220022012;-20.0;-25.699999999999946;32.565165437933786;-2.2321088196358407;0.0;-131.49643384550467;-33.90145600920453;-20.0;-25.849999999999945
2025-03-25_14:06:40:879332;1742908000.879332;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908000.7684581;0.11087393760681152;0.0;0.0;0.0;-0.0;438.26669146333126;947.4046155092122;-20.0;-25.849999999999945;32.683673294169324;-2.22929019216511;0.0;-132.3991796683529;-33.860219066749586;-20.0;-25.999999999999943
2025-03-25_14:06:40:987147;1742908000.98615;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908000.879332;0.10681796073913574;0.0;0.0;0.0;-0.0;443.0023021759452;949.1266749181849;-20.0;-25.999999999999943;32.802438933713404;-2.226491953036434;0.0;-133.30309609193426;-33.816668242696814;-20.0;-26.14999999999994
2025-03-25_14:06:41:094870;1742908001.0948706;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908000.98615;0.10872054100036621;0.0;0.0;0.0;-0.0;447.6744911310901;950.8569185713285;-20.0;-26.14999999999994;32.92145956667166;-2.2237139251796347;0.0;-134.20817391529778;-33.77472196179371;-20.0;-26.29999999999994
2025-03-25_14:06:41:205110;1742908001.204113;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908001.0948706;0.10924243927001953;0.0;0.0;0.0;-0.0;452.2920810712611;952.5920065556331;-20.0;-26.29999999999994;33.04073243740212;-2.2209559328252926;0.0;-135.1144039925892;-33.73378119529842;-20.0;-26.44999999999994
2025-03-25_14:06:41:313127;1742908001.3121285;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908001.204113;0.10801553726196289;0.0;0.0;0.0;-0.0;456.87838454102507;954.3215053367111;-20.0;-26.44999999999994;33.1602548241113;-2.21821780151091;0.0;-136.02177723365062;-33.69194283816568;-20.0;-26.599999999999937
2025-03-25_14:06:41:423394;1742908001.4223902;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908001.3121285;0.11026167869567871;0.0;0.0;0.0;-0.0;461.4040283754772;956.0600329582813;-20.0;-26.599999999999937;33.28002403845281;-2.215499358086332;0.0;-136.9302846045766;-33.65188791934061;-20.0;-26.749999999999936
2025-03-25_14:06:41:532232;1742908001.5312293;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908001.4223902;0.10883903503417969;0.0;0.0;0.0;-0.0;465.9047866425909;957.7909605397751;-20.0;-26.749999999999936;33.40003742512868;-2.2128004307184335;0.0;-137.83991712823067;-33.61057134825415;-20.0;-26.899999999999935
2025-03-25_14:06:41:641073;1742908001.6400354;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908001.5312293;0.10880613327026367;0.0;0.0;0.0;-0.0;470.3576523338394;959.5259194775982;-20.0;-26.899999999999935;33.52029236149345;-2.2101208488951185;0.0;-138.75066588472197;-33.57013166640011;-20.0;-27.049999999999933
2025-03-25_14:06:41:749654;1742908001.7486567;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908001.6400354;0.10862135887145996;0.0;0.0;0.0;-0.0;474.771082803268;961.2613384866141;-20.0;-27.049999999999933;33.640786257161054;-2.207460443428647;0.0;-139.66252201184457;-33.52991734875802;-20.0;-27.199999999999932
2025-03-25_14:06:41:859896;1742908001.8589017;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908001.7486567;0.1102449893951416;0.0;0.0;0.0;-0.0;479.13737929209753;963.0015501782237;-20.0;-27.199999999999932;33.761516553614655;-2.20481904645832;0.0;-140.57547670548016;-33.490733327839656;-20.0;-27.34999999999993
2025-03-25_14:06:41:968009;1742908001.96801;0.0;0.0;0.0;0.0;0.0;0.0;1742907966.1914148;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742908001.8589017;0.10910820960998535;0.0;0.0;0.0;-0.0;483.4780200266777;964.7363677544071;-20.0;-27.34999999999993;33.88248072381944;-2.2021964914525483;0.0;-141.48952121996493;-33.45070116221764;-20.0;-27.49999999999993
