"filename", "language", "Dotenv", "Python", "CSV", "Properties", "YAML", "PowerShell", "C++", "Batch", "comment", "blank", "total"
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\camera.h", "C++", 0, 0, 0, 0, 0, 0, 173, 0, 26, 20, 219
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\font.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 1, 6, 16
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\freetype.h", "C++", 0, 0, 0, 0, 0, 0, 67, 0, 29, 19, 115
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\_pygame.h", "C++", 0, 0, 0, 0, 0, 0, 322, 0, 503, 125, 950
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\bitmask.h", "C++", 0, 0, 0, 0, 0, 0, 80, 0, 66, 26, 172
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pgcompat.h", "C++", 0, 0, 0, 0, 0, 0, 75, 0, 3, 25, 103
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pgimport.h", "C++", 0, 0, 0, 0, 0, 0, 38, 0, 15, 15, 68
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pgplatform.h", "C++", 0, 0, 0, 0, 0, 0, 63, 0, 9, 12, 84
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pygame.h", "C++", 0, 0, 0, 0, 0, 0, 4, 0, 27, 4, 35
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pygame_bufferproxy.h", "C++", 0, 0, 0, 0, 0, 0, 19, 0, 23, 15, 57
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pygame_font.h", "C++", 0, 0, 0, 0, 0, 0, 17, 0, 22, 12, 51
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pygame_freetype.h", "C++", 0, 0, 0, 0, 0, 0, 14, 0, 19, 10, 43
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pygame_mask.h", "C++", 0, 0, 0, 0, 0, 0, 17, 0, 17, 12, 46
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\pygame_mixer.h", "C++", 0, 0, 0, 0, 0, 0, 31, 0, 21, 20, 72
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\include\sse2neon.h", "C++", 0, 0, 0, 0, 0, 0, 3277, 0, 2410, 517, 6204
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\mask.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\mixer.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 1, 5, 15
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\palette.h", "C++", 0, 0, 0, 0, 0, 0, 93, 0, 25, 6, 124
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\pgarrinter.h", "C++", 0, 0, 0, 0, 0, 0, 20, 0, 2, 5, 27
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\pgbufferproxy.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\sb3_env\Include\site\python3.11\pygame\pgcompat.h", "C++", 0, 0, 0, 0, 0, 0, 16, 0, 4, 8, 28
