;current_time;tau_X;tau_N;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;target_north_from_observer;target_east_from_observer
2025-11-24_17:12:46:180166;1764000766.1791673;-118.73535213408158;-34.58894485157317;59.9087165;10.719326166666667;0.0;59.9087165;10.719326166666667;0.0;1764000766.1781719;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.20425309292893176;-0.7646998942349655;4.7320851515042506e-08;1764000766.0711296;0.10803771018981934;0.0;0.0;0.0;-0.0;358.1325378362052;921.3794889463682;-20.204253092928933;-23.585300105764993;31.05604971856734;-2.2791361074744083;0.0;-20.0;-24.499999999999957
2025-11-24_17:12:46:289509;1764000766.2895095;-119.61862981340929;-34.56526716197135;59.908716;10.719328166666667;0.0;59.908716;10.719328166666667;0.0;1764000766.2895095;0;1.1227587097153275;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.20425309292893176;-0.7646998942349655;4.7320851515042506e-08;1764000766.1791673;0.11034226417541504;0.0;0.0;0.0;-0.0;363.5110702590847;923.2162300581632;-20.204253092928933;-23.735300105764992;31.17011893069797;-2.2760053451706423;0.0;-20.0;-24.649999999999956
2025-11-24_17:12:46:438804;1764000766.4153697;-121.20994078209091;-34.41496871673249;59.908716;10.719328166666667;0.0;59.908716;10.719328166666667;0.0;1764000766.402495;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.14854770326069075;-0.6527926024677115;3.4114556846098765e-08;1764000766.2895095;0.12586021423339844;0.0;0.0;0.0;-0.0;374.5054998010152;925.9107522229547;-20.14854770326069;-23.997207397532243;31.334165657166423;-2.2692336180794603;0.0;-20.0;-24.799999999999955
2025-11-24_17:12:46:498117;1764000766.4958923;-122.09731534945153;-34.397550792005426;59.908716166666665;10.719327666666667;0.0;59.908716166666665;10.719327666666667;0.0;1764000766.4958923;0;0.35951889778694407;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.14854770326069075;-0.6527926024677115;3.4114556846098765e-08;1764000766.4153697;0.08052253723144531;0.0;0.0;0.0;-0.0;379.5884597552411;927.7827534795373;-20.14854770326069;-24.14720739753224;31.44919076303884;-2.2661666583197673;0.0;-20.0;-24.949999999999953
2025-11-24_17:12:46:600989;1764000766.5999703;-122.80447098127992;-34.40138354314051;59.908716166666665;10.719327666666667;0.0;59.908716166666665;10.719327666666667;0.0;1764000766.5989056;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.1671161639285189;-0.680769424914748;3.775373300096696e-08;1764000766.4958923;0.10407805442810059;0.0;0.0;0.0;-0.0;383.3502792603324;929.3711492908809;-20.16711616392852;-24.269230575085206;31.55484316354682;-2.2641409964763013;0.0;-20.0;-25.09999999999995
2025-11-24_17:12:46:734081;1764000766.7279987;-123.69398305979036;-34.34756664755494;59.908716166666665;10.719327666666667;0.0;59.908716166666665;10.719327666666667;0.0;1764000766.5989056;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.1671161639285189;-0.680769424914748;3.775373300096696e-08;1764000766.5999703;0.12802839279174805;0.0;0.0;0.0;-0.0;388.81674222970963;931.0372970619123;-20.16711616392852;-24.419230575085205;31.670355164547225;-2.261113966216281;0.0;-20.0;-25.24999999999995
2025-11-24_17:12:46:842643;1764000766.8319416;-124.58475786702029;-34.292064499404574;59.908716166666665;10.719327666666667;0.0;59.908716166666665;10.719327666666667;0.0;1764000766.8310468;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.1671161639285189;-0.680769424914748;3.775373300096696e-08;1764000766.7279987;0.10394287109375;0.0;0.0;0.0;-0.0;394.23626704535826;932.6938422939463;-20.16711616392852;-24.569230575085204;31.78615524754588;-2.258108964125054;0.0;-20.0;-25.39999999999995
2025-11-24_17:12:46:976889;1764000766.9608307;-125.47678582185529;-34.257413466310474;59.90871583333333;10.719328333333333;0.0;59.90871583333333;10.719328333333333;0.0;1764000766.9597733;0;0.40890339573869733;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.1671161639285189;-0.680769424914748;3.775373300096696e-08;1764000766.8319416;0.1288890838623047;0.0;0.0;0.0;-0.0;399.3168460193303;934.4664455295004;-20.16711616392852;-24.719230575085202;31.90224027546677;-2.2551258043029545;0.0;-20.0;-25.549999999999947
2025-11-24_17:12:47:095111;1764000767.0830116;-126.62522948756654;-34.160595409556905;59.90871583333333;10.719328;0.0;59.90871583333333;10.719328;0.0;1764000767.079847;0;0.15533128725230605;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.12997924673805905;-0.6434669970673305;3.3953814933262993e-08;1764000766.9608307;0.12218093872070312;0.0;0.0;0.0;-0.0;406.43382559666674;936.453302130545;-20.12997924673806;-24.906533002932616;32.024232242167436;-2.250529918736139;0.0;-20.0;-25.699999999999946
2025-11-24_17:12:47:157832;1764000767.1557322;-127.40901985515852;-34.12573780478004;59.90871583333333;10.719328;0.0;59.90871583333333;10.719328;0.0;1764000767.1557322;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.1299792501438492;-0.6621182142594386;3.592739038910109e-08;1764000767.0830116;0.07272052764892578;0.0;0.0;0.0;-0.0;410.8246766579453;937.9802601844898;-20.129979250143847;-25.037881785740506;32.12649356727152;-2.2479599502968286;0.0;-20.0;-25.849999999999945
2025-11-24_17:12:47:291572;1764000767.2892785;-128.30525324180132;-34.106536128963306;59.90871583333333;10.719328;0.0;59.90871583333333;10.719328;0.0;1764000767.2824206;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.1299792501438492;-0.6621182142594386;3.592739038910109e-08;1764000767.1557322;0.1335463523864746;0.0;0.0;0.0;-0.0;415.52975996219436;939.8377288752433;-20.129979250143847;-25.187881785740505;32.24353351392586;-2.2450450128145873;0.0;-20.0;-25.999999999999943
2025-11-24_17:12:47:367713;1764000767.367713;-129.20270025297182;-34.03449510057505;59.908715666666666;10.719328333333333;0.0;59.908715666666666;10.719328333333333;0.0;1764000767.367713;0;0.30856638682954735;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.1299792501438492;-0.6621182142594386;3.592739038910109e-08;1764000767.2892785;0.07843446731567383;0.0;0.0;0.0;-0.0;420.8426210058507;941.4018637988876;-20.129979250143847;-25.337881785740503;32.360845446301035;-2.242151184885593;0.0;-20.0;-26.14999999999994
2025-11-24_17:12:47:516349;1764000767.489173;-130.2303347594793;-33.99087139666787;59.908715666666666;10.719328333333333;0.0;59.908715666666666;10.719328333333333;0.0;1764000767.4832635;0;0.0;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.11141079012366321;-0.643467000224643;3.2663507690267046e-08;1764000767.367713;0.1214599609375;0.0;0.0;0.0;-0.0;426.3704040093144;943.4043423129854;-20.111410790123664;-25.5065329997753;32.4815650737111;-2.2384737746127645;0.0;-20.0;-26.29999999999994
2025-11-24_17:12:47:608461;1764000767.5927446;-131.13050400209988;-33.95269007887199;59.9087155;10.719328666666666;0.0;59.9087155;10.719328666666666;0.0;1764000767.5865438;0;0.25482446066726566;0.49;0;0;0;0;0;0;59.90871466666667;10.719339833333333;0.0;0.11141079012366321;-0.643467000224643;3.2663507690267046e-08;1764000767.489173;0.10357165336608887;0.0;0.0;0.0;-0.0;431.15392855789463;945.1551255296249;-20.111410790123664;-25.656532999775298;32.599486645308716;-2.2356248124892324;0.0;-20.0;-26.44999999999994
