;current_time;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;previous_time;cycle_time;speed_n;speed_e;speed_surge;speed_sway;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2025-03-25_12:20:17:713063;1742901617.7130632;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901617.6038613;0.10920190811157227;0.0;0.0;0.0;-0.0;403.7513692798361;935.3272563916656;-20.0;-24.799999999999955;31.859692402783768;-2.24945881754321;0.0;-126.10506354790205;-34.16374270972343;-20.0;-24.949999999999953
2025-03-25_12:20:17:821173;1742901617.8211732;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901617.7130632;0.10810995101928711;0.0;0.0;0.0;-0.0;408.8622352170811;937.0454365214742;-20.0;-24.949999999999953;31.976593001756733;-2.246514069684583;0.0;-127.00058954762534;-34.11881547665228;-20.0;-25.09999999999995
2025-03-25_12:20:17:932295;1742901617.9302943;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901617.8211732;0.10912108421325684;0.0;0.0;0.0;-0.0;413.8997389744933;938.7703734022537;-20.0;-25.09999999999995;32.09376886562246;-2.243590799457214;0.0;-127.89734247164259;-34.075188085048886;-20.0;-25.24999999999995
2025-03-25_12:20:18:040822;1742901618.0398214;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901617.9302943;0.1095271110534668;0.0;0.0;0.0;-0.0;418.87666205467923;940.4974745501904;-20.0;-25.24999999999995;32.211216990359084;-2.240688822161842;0.0;-128.79531280352938;-34.03204180429932;-20.0;-25.39999999999995
2025-03-25_12:20:18:148351;1742901618.1483517;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901618.0398214;0.10853028297424316;0.0;0.0;0.0;-0.0;423.82151725238396;942.2148217613137;-20.0;-25.39999999999995;32.328934408668616;-2.237807954345454;0.0;-129.69449107740118;-33.987226681017965;-20.0;-25.549999999999947
2025-03-25_12:20:18:257536;1742901618.2575366;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901618.1483517;0.10918498039245605;0.0;0.0;0.0;-0.0;428.6855946244534;943.945053978903;-20.0;-25.549999999999947;32.446918189559966;-2.2349480138126117;0.0;-130.59486787879592;-33.944839316225604;-20.0;-25.699999999999946
2025-03-25_12:20:18:366610;1742901618.3656135;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901618.2575366;0.10807681083679199;0.0;0.0;0.0;-0.0;433.51202790230775;945.6695340723725;-20.0;-25.699999999999946;32.565165437933786;-2.2321088196358407;0.0;-131.49643384550467;-33.90151266517314;-20.0;-25.849999999999945
2025-03-25_12:20:18:477142;1742901618.4771426;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901618.3656135;0.11152911186218262;0.0;0.0;0.0;-0.0;438.2633900582131;947.406142722885;-20.0;-25.849999999999945;32.683673294169324;-2.22929019216511;0.0;-132.3991796683529;-33.860496839560106;-20.0;-25.999999999999943
2025-03-25_12:20:18:587265;1742901618.587265;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901618.4771426;0.1101224422454834;0.0;0.0;0.0;-0.0;442.9904110649044;949.1322249713073;-20.0;-25.999999999999943;32.802438933713404;-2.226491953036434;0.0;-133.30309609193426;-33.8176795349312;-20.0;-26.14999999999994
2025-03-25_12:20:18:697333;1742901618.6963308;0.0;0.0;0.0;0.0;0.0;0.0;1742901582.8672304;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;-0.0;1742901618.587265;0.10906577110290527;0.0;0.0;0.0;-0.0;447.6625975105688;950.8625181352629;-20.0;-26.14999999999994;32.92145956667166;-2.2237139251796347;0.0;-134.20817391529778;-33.77574413558308;-20.0;-26.29999999999994
