"filename", "language", "Python", "CSV", "Dotenv", "YAML", "Properties", "PowerShell", "Batch", "C++", "comment", "blank", "total"
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_15-59-36.csv", "CSV", 0, 531, 0, 0, 0, 0, 0, 0, 0, 1, 532
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_16-01-31.csv", "CSV", 0, 110, 0, 0, 0, 0, 0, 0, 0, 1, 111
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 07.03.2024\logs\2024-03-07_16-04-12.csv", "CSV", 0, 779, 0, 0, 0, 0, 0, 0, 0, 1, 780
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 22.03.2024\plots\2024-03-22_12-25-05.csv", "CSV", 0, 802, 0, 0, 0, 0, 0, 0, 0, 1, 803
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 22.03.2024\plots\2024-03-22_12-31-34.csv", "CSV", 0, 957, 0, 0, 0, 0, 0, 0, 0, 1, 958
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 22.03.2024\plots\2024-03-22_12-34-35.csv", "CSV", 0, 920, 0, 0, 0, 0, 0, 0, 0, 1, 921
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 22.03.2024\plots\2024-03-22_12-37-49.csv", "CSV", 0, 842, 0, 0, 0, 0, 0, 0, 0, 1, 843
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Otter logs 22.03.2024\plots\2024-03-22_12-45-31.csv", "CSV", 0, 1501, 0, 0, 0, 0, 0, 0, 0, 1, 1502
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_1D_2x_from_csv.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 1, 23, 56
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_1D_from_csv.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 12, 24, 81
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_2D_from_csv.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_all.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 4, 14, 38
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_control_forces.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 1, 26, 60
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_distance_to_target.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 1, 25, 56
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_ship_target_path.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 15, 38
"c:\Repos\Master_Thesis\Code\Otter-USV\Otter_API\logs\Plot_surge_velocity.py", "Python", 96, 0, 0, 0, 0, 0, 0, 0, 17, 33, 146
